Acronym,Year,SampleStartYear,SampleEndYear,is_start,is_end,is_sharpe,is_n_months,post_start,post_end,post_sharpe,post_n_months,full_sharpe,full_n_months,reported_return_monthly_pct,reported_tstat,reported_sharpe_annualized,Test in OP,Signal Rep Quality,rel_err,abs_rel_err,raw_ls_test,sign_match
AbnormalAccruals,2001,1971,1992,1971-01-01,1992-12-31,1.0783969329269592,246,2002-01-01,2024-12-31,-0.17449135118137035,276,0.23045513720334815,630,0.916666667,8.43,1.8618755296219127,port sort size adjusted nonstandard,2_fair,-0.4208007378742729,0.4208007378742729,False,True
Accruals,1996,1962,1991,1962-01-01,1991-12-31,1.2183143536598,360,1997-01-01,2024-12-31,0.1866821075018738,336,0.713061751750963,870,0.866666667,4.71,0.8599244152831107,port sort size adjusted,1_good,0.4167691159910811,0.4167691159910811,False,True
AccrualsBM,2004,1980,1998,1980-01-01,1998-12-31,1.1177582696827042,228,2005-01-01,2024-12-31,0.5734194232913296,240,0.839776354636269,725,0.206,5.5,1.2617865362880898,LS port,1_good,-0.11414630166294722,0.11414630166294722,True,True
Activism1,2005,1990,2001,1990-01-01,2001-12-31,0.2946580905376371,135,2006-01-01,2024-12-31,0.3037538410940778,14,0.1869106294880887,197,0.9025,3.13,0.9331857026099122,port sort CAPM alpha,1_good,-0.6842449581969118,0.6842449581969118,False,True
AM,1992,1963,1990,1963-01-01,1990-12-31,0.6601811495440237,336,1993-01-01,2024-12-31,0.3064163588383219,384,0.413936010575883,882,,5.69,1.0753089257112516,univariate reg,1_good,-0.3860544316533465,0.3860544316533465,False,True
AnalystRevision,1984,1975,1980,1975-01-01,1980-12-31,2.4422465574914405,58,1985-01-01,2024-12-31,1.0549042050973125,480,1.287174492096622,586,0.460583333,3.169151376,1.4415164747705935,long only port CAPM alpha,2_fair,0.6942203576827699,0.6942203576827699,False,True
AnnouncementReturn,1996,1977,1992,1977-01-01,1992-12-31,3.175482820443261,192,1997-01-01,2024-12-31,1.3520015729872916,336,1.9172305647087058,640,,9.25,2.3125,mv reg,1_good,0.3731817601916804,0.3731817601916804,False,True
AssetGrowth,2008,1968,2003,1968-01-01,2003-12-31,1.2759289637483895,432,2009-01-01,2024-12-31,0.6498629078383029,192,0.8738536444951976,870,1.73,8.45,1.408333333333333,port sort,1_good,-0.09401493698339186,0.09401493698339186,True,True
BetaLiquidityPS,2003,1968,1999,1968-01-01,1999-12-31,0.35859982465179063,384,2004-01-01,2024-12-31,-0.006726981871238492,252,0.15636411195314345,733,0.533333333,2.54,0.44901280605345767,port sort CAPM alpha,1_good,-0.20135947167373847,0.20135947167373847,False,True
BetaTailRisk,2014,1963,2010,1963-01-01,2010-12-31,0.47602858396800185,576,2015-01-01,2024-12-31,0.2557636265450806,120,0.2993595727070713,1116,0.33,2.48,0.35795716689756796,port sort,1_good,0.32984789239943024,0.32984789239943024,True,True
