perturbation,aum_usd,n_factors,n_viable,viable_pct,annual_cost_bps
base,100000000.0,208,66,0.3173076923076923,121.19999999999999
base,1000000000.0,208,63,0.30288461538461536,132.0
base,10000000000.0,208,45,0.21634615384615385,240.0
base,100000000000.0,208,1,0.004807692307692308,1320.0
kappa_x2,100000000.0,208,65,0.3125,122.39999999999999
kappa_x2,1000000000.0,208,62,0.2980769230769231,144.0
kappa_x2,10000000000.0,208,35,0.16826923076923078,360.0
kappa_x2,100000000000.0,208,1,0.004807692307692308,2520.0
kappa_half,100000000.0,208,67,0.32211538461538464,120.60000000000001
kappa_half,1000000000.0,208,64,0.3076923076923077,126.0
kappa_half,10000000000.0,208,56,0.2692307692307692,180.0
kappa_half,100000000000.0,208,9,0.04326923076923077,720.0
turnover_x2,100000000.0,208,65,0.3125,122.39999999999999
turnover_x2,1000000000.0,208,62,0.2980769230769231,144.0
turnover_x2,10000000000.0,208,35,0.16826923076923078,360.0
turnover_x2,100000000000.0,208,1,0.004807692307692308,2520.0
turnover_half,100000000.0,208,67,0.32211538461538464,120.60000000000001
turnover_half,1000000000.0,208,64,0.3076923076923077,126.0
turnover_half,10000000000.0,208,56,0.2692307692307692,180.0
turnover_half,100000000000.0,208,9,0.04326923076923077,720.0
universe_half,100000000.0,208,65,0.3125,122.39999999999999
universe_half,1000000000.0,208,62,0.2980769230769231,144.0
universe_half,10000000000.0,208,35,0.16826923076923078,360.0
universe_half,100000000000.0,208,1,0.004807692307692308,2520.0
