aum_usd,mechanism,n_factors,n_viable,mean_capacity_sharpe,median_capacity_sharpe,viable_pct
100000000.0,behavioral,57,20,0.20462149060667134,0.19868921897917913,0.3508771929824561
100000000.0,mispricing,82,31,0.2138750452111691,0.18663923293284912,0.3780487804878049
100000000.0,risk_premium,69,15,0.12566020522584095,0.11438831991744287,0.21739130434782608
1000000000.0,behavioral,57,18,0.19390555769926882,0.18620003985569272,0.3157894736842105
1000000000.0,mispricing,82,30,0.20250349162350662,0.17943063181235486,0.36585365853658536
1000000000.0,risk_premium,69,15,0.11551855735372739,0.10355662551655806,0.21739130434782608
10000000000.0,behavioral,57,11,0.08674622862524384,0.0988560057856942,0.19298245614035087
10000000000.0,mispricing,82,21,0.08878795574688203,0.05929012714371884,0.25609756097560976
10000000000.0,risk_premium,69,13,0.014102078632591901,0.003384009208549865,0.18840579710144928
100000000000.0,behavioral,57,0,-0.9848470621150064,-0.8294722241920078,0.0
100000000000.0,mispricing,82,1,-1.048367403019364,-0.7894854968457452,0.012195121951219513
100000000000.0,risk_premium,69,0,-1.000062708578763,-0.9041169029215623,0.0
100000000.0,ALL,208,66,0.18207563861768827,0.14902051379270045,0.3173076923076923
1000000000.0,ALL,208,63,0.17129174788169738,0.13399016773595873,0.30288461538461536
10000000000.0,ALL,208,45,0.06345284052178878,0.03837852421139262,0.21634615384615385
100000000000.0,ALL,208,1,-1.0149362330772975,-0.826454908585071,0.004807692307692308
