Acronym,Filter,Cat.Economic,cap_tier,monthly_turnover_per_side,universe_daily_volume_usd,half_spread_bps,borrow_cost_bps_yr
AbnormalAccruals,,accruals,full_universe,0.08,50000000000.0,15,300
Accruals,abs(prc)>5,accruals,ex_microcap,0.08,40000000000.0,10,150
AccrualsBM,,valuation,full_universe,0.04,50000000000.0,15,300
Activism1,,other,full_universe,0.1,50000000000.0,15,300
AM,,valuation,full_universe,0.04,50000000000.0,15,300
AnalystRevision,,earnings forecast,full_universe,0.1,50000000000.0,15,300
AnnouncementReturn,,earnings event,full_universe,0.1,50000000000.0,15,300
AssetGrowth,,investment,full_universe,0.06,50000000000.0,15,300
BetaLiquidityPS,abs(prc)>5,liquidity,ex_microcap,0.2,40000000000.0,10,150
BetaTailRisk,abs(prc)>5,risk,ex_microcap,0.1,40000000000.0,10,150
betaVIX,,volatility,full_universe,0.15,50000000000.0,15,300
BM,"exchcd%in%c(1,2)",valuation,full_universe,0.04,50000000000.0,15,300
BMdec,,valuation,full_universe,0.04,50000000000.0,15,300
BookLeverage,,leverage,full_universe,0.05,50000000000.0,15,300
BPEBM,abs(prc)>5,leverage,ex_microcap,0.05,40000000000.0,10,150
Cash,,asset composition,full_universe,0.06,50000000000.0,15,300
CashProd,,profitability alt,full_universe,0.03,50000000000.0,15,300
CBOperProf,,profitability,full_universe,0.03,50000000000.0,15,300
CF,"exchcd%in%c(1,2)",valuation,full_universe,0.04,50000000000.0,15,300
cfp,,valuation,full_universe,0.04,50000000000.0,15,300
ChangeInRecommendation,,recommendation,full_universe,0.1,50000000000.0,15,300
ChAssetTurnover,abs(prc)>5,sales growth,ex_microcap,0.08,40000000000.0,10,150
ChEQ,,investment,full_universe,0.06,50000000000.0,15,300
ChForecastAccrual,,earnings forecast,full_universe,0.1,50000000000.0,15,300
ChInv,,investment alt,full_universe,0.06,50000000000.0,15,300
ChInvIA,,investment growth,full_universe,0.1,50000000000.0,15,300
ChNAnalyst,abs(prc) > 5,earnings event,ex_microcap,0.1,40000000000.0,10,150
ChNNCOA,,investment alt,full_universe,0.06,50000000000.0,15,300
ChNWC,abs(prc)>5,investment alt,ex_microcap,0.06,40000000000.0,10,150
ChTax,,other,full_universe,0.1,50000000000.0,15,300
CitationsRD,,profitability alt,full_universe,0.03,50000000000.0,15,300
CompEquIss,abs(prc)>5,external financing,ex_microcap,0.06,40000000000.0,10,150
CompositeDebtIssuance,,external financing,full_universe,0.06,50000000000.0,15,300
ConvDebt,,external financing,full_universe,0.06,50000000000.0,15,300
CoskewACX,"shrcd<=11, exchcd==1",risk,full_universe,0.1,50000000000.0,15,300
CPVolSpread,"shrcd%in%c(10,11)",optionrisk,full_universe,0.2,50000000000.0,15,300
dVolCall,,informed trading,full_universe,0.1,50000000000.0,15,300
dVolPut,,informed trading,full_universe,0.1,50000000000.0,15,300
dCPVolSpread,,informed trading,full_universe,0.1,50000000000.0,15,300
CredRatDG,,other,full_universe,0.1,50000000000.0,15,300
CustomerMomentum,abs(prc)>5,lead lag,ex_microcap,0.25,40000000000.0,10,150
DelBreadth,,ownership,full_universe,0.1,50000000000.0,15,300
DelCOA,,investment alt,full_universe,0.06,50000000000.0,15,300
DelCOL,,external financing,full_universe,0.06,50000000000.0,15,300
DelEqu,,investment,full_universe,0.06,50000000000.0,15,300
DelFINL,,external financing,full_universe,0.06,50000000000.0,15,300
DelLTI,,investment,full_universe,0.06,50000000000.0,15,300
DelNetFin,,investment alt,full_universe,0.06,50000000000.0,15,300
DivInit,shrcd <= 11,payout indicator,full_universe,0.04,50000000000.0,15,300
DivOmit,shrcd <= 11,payout indicator,full_universe,0.04,50000000000.0,15,300
DivSeason,abs(prc)>5,payout indicator,ex_microcap,0.04,40000000000.0,10,150
DivYieldST,,valuation,full_universe,0.04,50000000000.0,15,300
dNoa,,investment,full_universe,0.06,50000000000.0,15,300
DolVol,,volume,full_universe,0.2,50000000000.0,15,300
EarningsConsistency,abs(prc)>1,earnings growth,ex_microcap,0.1,40000000000.0,10,150
EarningsForecastDisparity,,earnings forecast,full_universe,0.1,50000000000.0,15,300
EarningsStreak,abs(prc)>5,earnings growth,ex_microcap,0.1,40000000000.0,10,150
EarningsSurprise,abs(prc)>5,earnings growth,ex_microcap,0.1,40000000000.0,10,150
EarnSupBig,,lead lag,full_universe,0.25,50000000000.0,15,300
EBM,abs(prc)>5,valuation,ex_microcap,0.04,40000000000.0,10,150
EntMult,,valuation,full_universe,0.04,50000000000.0,15,300
EP,exchcd==1,valuation,full_universe,0.04,50000000000.0,15,300
EquityDuration,,valuation,full_universe,0.04,50000000000.0,15,300
ExchSwitch,,other,full_universe,0.1,50000000000.0,15,300
ExclExp,,composite accounting,full_universe,0.05,50000000000.0,15,300
FEPS,abs(prc)>5,profitability,ex_microcap,0.03,40000000000.0,10,150
fgr5yrLag,,earnings forecast,full_universe,0.1,50000000000.0,15,300
FirmAgeMom,,momentum,full_universe,0.3,50000000000.0,15,300
ForecastDispersion,,volatility,full_universe,0.15,50000000000.0,15,300
Frontier,"exchcd%in%c(1,2,3),shrcd<=11",valuation,full_universe,0.04,50000000000.0,15,300
Governance,,other,full_universe,0.1,50000000000.0,15,300
GP,,profitability,full_universe,0.03,50000000000.0,15,300
GrAdExp,abs(prc)>5,investment alt,ex_microcap,0.06,40000000000.0,10,150
grcapx,,investment growth,full_universe,0.1,50000000000.0,15,300
grcapx3y,,investment growth,full_universe,0.1,50000000000.0,15,300
Herf,,other,full_universe,0.1,50000000000.0,15,300
HerfBE,,other,full_universe,0.1,50000000000.0,15,300
hire,,investment alt,full_universe,0.06,50000000000.0,15,300
IdioVol3F,,volatility,full_universe,0.15,50000000000.0,15,300
IdioVolAHT,,volatility,full_universe,0.15,50000000000.0,15,300
Illiquidity,"abs(prc)>5, exchcd==1",liquidity,ex_microcap,0.2,40000000000.0,10,150
IndIPO,,external financing,full_universe,0.06,50000000000.0,15,300
IndMom,,momentum,full_universe,0.3,50000000000.0,15,300
IndRetBig,,lead lag,full_universe,0.25,50000000000.0,15,300
IntanBM,abs(prc)>5,long term reversal,ex_microcap,0.1,40000000000.0,10,150
IntanCFP,abs(prc)>5,long term reversal,ex_microcap,0.1,40000000000.0,10,150
IntanEP,abs(prc)>5,long term reversal,ex_microcap,0.1,40000000000.0,10,150
IntanSP,,long term reversal,full_universe,0.1,50000000000.0,15,300
IntMom,,momentum,full_universe,0.3,50000000000.0,15,300
Investment,,investment,full_universe,0.06,50000000000.0,15,300
InvestPPEInv,,investment,full_universe,0.06,50000000000.0,15,300
InvGrowth,,profitability,full_universe,0.03,50000000000.0,15,300
iomom_cust,,lead lag,full_universe,0.25,50000000000.0,15,300
iomom_supp,,lead lag,full_universe,0.25,50000000000.0,15,300
Leverage,,leverage,full_universe,0.05,50000000000.0,15,300
LRreversal,,long term reversal,full_universe,0.1,50000000000.0,15,300
MaxRet,,volatility,full_universe,0.15,50000000000.0,15,300
MeanRankRevGrowth,"exchcd%in%c(1,2)",sales growth,full_universe,0.08,50000000000.0,15,300
Mom12m,,momentum,full_universe,0.3,50000000000.0,15,300
Mom12mOffSeason,"exchcd%in%c(1,2)",other,full_universe,0.1,50000000000.0,15,300
