Acronym,post_n_months,post_mean_pct,post_t,post_p,bh_q,fdr_reject_at_0.05
AbnormalAccruals,276,-0.12792889754196307,-0.8368311225410461,0.4034141032152496,0.6051211548228744,False
Accruals,336,0.0995375919892648,0.987828861350767,0.3239493986818147,0.535664360025048,False
AccrualsBM,240,0.8965328529637516,2.564409620196278,0.010947483127472735,0.055781829877054045,False
AM,384,0.4681645056669595,1.7333526816085432,0.08383781801061185,0.22864859457439596,False
AnalystRevision,480,0.5348684330241866,6.671800002793828,6.994915757729814e-11,4.89644103041087e-09,True
AnnouncementReturn,336,0.7998486989941243,7.154119868585031,5.3372861685829776e-12,5.604150477012126e-10,True
AssetGrowth,192,0.6665266413115017,2.599451631353212,0.010066680033001152,0.05404207549102852,False
BetaLiquidityPS,252,-0.006675714350313048,-0.03082690362354607,0.9754320822982296,0.9895687791431316,False
BetaTailRisk,120,0.2750554086946677,0.8087956025071569,0.4202467955597995,0.6171456438290762,False
betaVIX,216,0.20278584534403798,0.8843238878729545,0.37750924589291146,0.5960672303572286,False
BM,528,0.6117616944075415,3.179297621375314,0.0015630750774802138,0.017740754297224923,True
BMdec,384,0.617564125665052,3.525465679206037,0.00047391960227893826,0.007655624344505925,True
BookLeverage,384,-0.02854455688094157,-0.12316987074724181,0.9020371916192027,0.9511118823195194,False
BPEBM,204,-0.03229724216524538,-0.24301047779796295,0.8082426513146372,0.9028242381706054,False
Cash,144,-0.12558129075447577,-0.24485188186220885,0.8069221268851627,0.9028242381706054,False
CashProd,180,0.2025033662409335,0.7746492588060941,0.43956898517828735,0.6366171509478644,False
CBOperProf,96,0.5679045131635517,0.9786234106734918,0.33025166091918257,0.5418191311955339,False
CF,360,0.3850356806983065,1.34875411940506,0.1782661266356791,0.3819988427907409,False
cfp,240,0.9325587488734679,3.0093728232603763,0.002898257558145767,0.02535975363377546,True
ChangeInRecommendation,240,0.25575891704485304,2.7181521129890083,0.007045694548422965,0.04351752515202419,True
ChAssetTurnover,192,0.045462265294413794,0.5107713646373259,0.6101010127618434,0.7764921980605279,False
ChEQ,168,0.4058739493126214,1.965331964702939,0.051034373089981155,0.16406233259683195,False
ChForecastAccrual,240,0.10201003912306725,1.2169727788080162,0.2248149138953046,0.4412255319440558,False
ChInv,264,0.25000421999325817,2.123856847405786,0.034615550292449004,0.13461602891507946,False
ChInvIA,312,0.17880137563571052,1.4603725163197296,0.1451971789346218,0.3387934175141175,False
ChNAnalyst,192,0.10962672072379644,0.5249937492185727,0.6001963861603059,0.7706018415725155,False
ChNNCOA,192,-0.08816808406649157,-0.8849504053259141,0.377296070690047,0.5960672303572286,False
ChNWC,192,0.07237608572175169,1.0151812651774352,0.3113036743276758,0.5229901728704953,False
ChTax,156,0.4255135064152096,2.7500497855666324,0.0066676858014684814,0.0424307278275267,True
CitationsRD,132,0.06193654272210553,0.2987570397018358,0.7655988310629842,0.8833832666111356,False
CompEquIss,216,0.342795347978841,2.253710892037767,0.025223057798740678,0.10186234880260657,False
CompositeDebtIssuance,192,0.22134147259297987,2.182012299375401,0.03032922488159806,0.12017240047425645,False
ConvDebt,96,0.2978915773937159,1.452096307931112,0.14976956240486183,0.3456220670881427,False
CoskewACX,216,0.28252537993147514,1.1496845623819607,0.2515510756620496,0.47140402723072683,False
CPVolSpread,157,0.4628977091596442,3.2476698035114357,0.001424645627482679,0.017740754297224923,True
dVolCall,97,0.5942878829652455,2.4089463743534414,0.017906550522850617,0.08138041745949588,False
dVolPut,97,0.2274256122908142,0.9684499974886125,0.33525325754968516,0.5457611169413479,False
dCPVolSpread,97,0.6838453024111171,3.412661924867635,0.0009433057404999445,0.014149586107499168,True
CredRatDG,276,0.2510064801713419,1.0248875076275177,0.30631694705962276,0.5229801535164291,False
CustomerMomentum,192,0.3936218837551029,1.527968174519497,0.12817478565079155,0.3093874136398417,False
DelBreadth,264,0.2988572076359689,1.4082036039318044,0.16025177169543503,0.36157147935761896,False
DelCOA,228,0.14481009180896146,1.339492068584721,0.18175006659482174,0.38553044429204614,False
DelCOL,228,0.09909331005550315,0.8523905360990438,0.39489579192998536,0.5997397446969063,False
DelEqu,228,0.29238687194957325,1.5698624406915909,0.11783995311564044,0.2877487227242383,False
DelFINL,228,0.19309085756823235,2.000931409240125,0.046590693600591315,0.1563557268737307,False
DelLTI,228,0.12498040010185155,1.6996655923490989,0.09056363712451865,0.23479461476727057,False
DelNetFin,228,0.024900394348770335,0.23602649529150876,0.8136249302092269,0.9040277002324743,False
DivInit,348,0.26384050798384623,1.3570504455267876,0.17564723781517566,0.3819988427907409,False
DivOmit,347,0.8525561425240498,2.9491810304474426,0.003402922316660062,0.028584547459944522,True
DivSeason,132,0.09087123848341866,2.1100101933974935,0.03675932510197777,0.14035378675300603,False
DivYieldST,540,0.631186132133053,9.614156147500537,0.0,0.0,True
dNoa,240,0.20082617787550067,1.6695089035640438,0.09632580833959703,0.24081452084899255,False
DolVol,312,0.3879428182350794,1.8868964536692265,0.060105505544979065,0.18156577199054177,False
EarningsConsistency,180,0.3616568259272051,2.0872793738413984,0.03827910013942404,0.14354662552284014,False
EarningsForecastDisparity,156,0.15290888706760974,0.7162915021670451,0.4748891856383026,0.6830597875619421,False
EarningsStreak,144,0.6818815623458891,4.27745916852351,3.439940986327272e-05,0.0009653493975708693,True
EarningsSurprise,480,0.4002542025855763,4.873763042828974,1.491215946947122e-06,5.219255814314927e-05,True
EarnSupBig,204,0.47577429815350913,1.9993248647538295,0.04690671806211921,0.1563557268737307,False
EBM,204,0.2142194119829746,1.7227272384493106,0.08646076261890023,0.23277897628165448,False
EntMult,156,0.28140018311189646,0.8493967010261659,0.3969705929184284,0.5997397446969063,False
EP,564,0.20344147850339298,1.6784493899563961,0.09381432329705963,0.2373615408720786,False
EquityDuration,240,0.007509308604052093,0.03377266222661273,0.9730866240203258,0.9895687791431316,False
ExchSwitch,348,0.7736962780864872,3.7762783378287237,0.00018723977888845944,0.003932035356657648,True
ExclExp,252,0.050895838476534394,0.5630774294628524,0.5738847868717656,0.7532015906397252,False
FEPS,216,0.6445276782960142,1.7469293161746364,0.08207754202088835,0.22679320821561255,False
fgr5yrLag,336,-0.0005117376416024367,-0.0016967915276641715,0.9986471668410424,0.9986471668410424,False
FirmAgeMom,216,0.8432898810591131,2.5434201520503024,0.011680009180186302,0.057041905298584265,False
ForecastDispersion,264,0.3313305647822104,1.306311648020965,0.1925878647156014,0.40443451590276297,False
Frontier,180,0.48646468679952415,1.0766342624361405,0.28309258866964404,0.4995751564758424,False
Governance,38,-0.5385579978690395,-1.7273469128980306,0.09244577836045598,0.2367513836060458,False
GP,132,1.0241899485981474,2.6533478370551893,0.008955995774335923,0.050831327367852536,False
GrAdExp,120,0.11041554345181087,0.5232066556104569,0.6018033429423455,0.7706018415725155,False
grcapx,216,0.1885643292554927,1.4786576153487503,0.14069540788076607,0.33197792870742554,False
grcapx3y,216,0.05482959416750662,0.38495902170292046,0.7006483204467127,0.850497961235894,False
Herf,216,-0.3101278323149891,-1.7027855421929265,0.09005338219552583,0.23479461476727057,False
HerfBE,216,-0.3384157710960924,-1.8829041621704596,0.06106365103162914,0.18156577199054177,False
hire,120,0.19186954807810455,0.8179916817067999,0.4149968205285641,0.6171456438290762,False
IdioVol3F,216,0.2685236517450608,0.6917276468269201,0.48985467821653206,0.6997923974521887,False
IdioVolAHT,252,0.21982871878744975,0.5578345504404091,0.5774545528237893,0.7532015906397252,False
Illiquidity,264,0.042990231625354425,0.3591045195594642,0.7198050317022981,0.8588582764629694,False
IndIPO,396,0.43617999760952686,2.462377494278546,0.014227968531553392,0.06790621344605029,False
IndMom,300,0.3127857263908301,1.2734586872330214,0.2038444294693229,0.4116089441207482,False
IndRetBig,204,0.590499477977351,2.3309305654366974,0.020738457194855675,0.08710152021839385,False
IntanBM,216,0.09521593987151272,0.3597172711420719,0.7194116522633778,0.8588582764629694,False
IntanCFP,216,0.2985384596959284,1.133779123282204,0.2581498244358742,0.47140402723072683,False
IntanEP,216,0.23172561820882645,1.0944567154157478,0.27497932816583837,0.4935526402976586,False
IntanSP,216,0.18488012860567357,0.5768848771766694,0.5646207462410833,0.7521915680977318,False
IntMom,144,0.6754164563153027,1.0539089044938135,0.29370209616504384,0.5097309106996628,False
Investment,240,0.07432682249641981,0.42034304656768723,0.6746125406899979,0.8333449032052915,False
InvestPPEInv,192,0.21722680011758766,1.970212329493178,0.05025924717853525,0.16406233259683195,False
InvGrowth,144,0.44558078624198594,1.8868865210509171,0.061202625985718795,0.18156577199054177,False
iomom_cust,168,0.049067233523726383,0.18886122998926447,0.8504309027747454,0.9205695339314255,False
iomom_supp,168,0.05348360290443927,0.21246979376695935,0.8319996576765802,0.9126220057641462,False
Leverage,432,0.32316337832997927,1.262341891451634,0.2075083988155093,0.4150167976310186,False
LRreversal,468,0.4772139298667307,2.006734587025239,0.04535385530046754,0.1563557268737307,False
MaxRet,156,0.19944457987192316,0.3788810025874837,0.705294720351199,0.8512177659411022,False
MeanRankRevGrowth,360,0.024920420827150645,0.24599925416545704,0.8058233942116386,0.9028242381706054,False
Mom12m,372,0.8531742264188287,1.852413042367996,0.06476061274523137,0.18156577199054177,False
Mom12mOffSeason,192,0.8800918325834889,1.4043244657771454,0.16184628123626754,0.36157147935761896,False
Mom6m,372,1.0392633600528807,2.371751475663707,0.01821371247903003,0.08138041745949588,False
Mom6mJunk,204,0.4533777237509893,0.8758996639855842,0.38211982800853517,0.5988445065805401,False
MomOffSeason,192,0.4156152022253145,0.99777673328554,0.3196500240547535,0.5327500400912559,False
MomOffSeason06YrPlus,192,0.5309497336969623,2.0767141553937645,0.03916622497534816,0.14380622922923111,False
MomOffSeason16YrPlus,192,0.22082803185815114,1.0305583746560583,0.30405118221637606,0.5229801535164291,False
MomRev,216,0.07336397225566618,0.1670753931651522,0.8674677600947698,0.9291334380488409,False
MomSeason,192,-0.06357680263619599,-0.199563741434134,0.8420340857228332,0.9162028912010102,False
MomSeason06YrPlus,192,0.07971576956964095,0.30391194357680906,0.7615258029637364,0.8833832666111356,False
MomSeason11YrPlus,192,0.1611407314089829,0.8113985117001673,0.4181468362625087,0.6171456438290762,False
MomSeason16YrPlus,192,0.45720422243607345,2.3393337470212323,0.020351633634230648,0.08710152021839385,False
MomSeasonShort,192,0.12004061941000736,0.3913231334163308,0.6959946014336156,0.8497608505875539,False
MomVol,288,1.1403157450452333,1.8534437016525593,0.06484491856805064,0.18156577199054177,False
MS,228,0.5487053426323113,2.6809779524510757,0.007879464824238402,0.045963544808057345,True
NetDebtFinance,216,0.36343320162586495,2.692203157012486,0.007657161247026423,0.04594296748215854,True
NetDebtPrice,204,0.09617751198467786,0.2654716695799013,0.7909155278791142,0.8991512104424949,False
NetEquityFinance,216,1.0197717461498654,3.0668573943172075,0.0024408879166570863,0.022286367934695135,True
NetPayoutYield,204,1.4935470674234197,3.777898403807695,0.00020778014015077062,0.0039667117665147114,True
NOA,240,0.017997053894066674,0.07979495713002094,0.9364671083520819,0.968759077605602,False
OPLeverage,156,-0.029287105957336326,-0.1185051671426575,0.9058208403043042,0.9511118823195194,False
OptionVolume1,129,0.0965688816543934,0.39709674749995566,0.6919574658598517,0.8497608505875539,False
OrderBacklog,252,-0.29681739229171006,-1.9985591781138161,0.04673466541997828,0.1563557268737307,False
OrderBacklogChg,204,0.6592545159729051,2.561218068227216,0.011156365975410809,0.055781829877054045,False
OrgCap,132,0.18454776479814589,0.8600916292781612,0.39130985267706997,0.5997397446969063,False
OScore,312,1.1061040984573867,2.922485911502279,0.003727022748100106,0.030102876042347012,True
PatentsRD,48,-5.224885000648185,-1.9976366658338283,0.05156244738757576,0.16406233259683195,False
PayoutYield,204,0.20123207523050773,0.8672198771244858,0.3868454845990794,0.5997397446969063,False
PctAcc,156,0.11979380274932488,1.0160600783784093,0.3111841580968633,0.5229901728704953,False
PctTotAcc,156,0.3881421112738287,2.7942375623317064,0.005859385143424545,0.04101569600397181,True
Price,612,0.3285472199342002,1.1214883456405096,0.2625206084987366,0.4752528257304714,False
PriceDelayRsq,224,-0.25282966764084086,-1.0544396426592295,0.2928227744859093,0.5097309106996628,False
PS,288,0.5949707941048266,1.1543129854043548,0.24933213942027388,0.47140402723072683,False
RD,276,0.2238308888451221,0.6581834833847048,0.5109708496074272,0.7201602578359713,False
RDAbility,132,0.2125948308822641,0.7810026347495708,0.4362100351043787,0.6361396345272189,False
RDcap,156,-0.19254405015381137,-0.592049724698821,0.5546799066542105,0.7466844897268218,False
RDIPO,216,0.6988447543508298,2.878915262557917,0.004393535044715513,0.031815253772077855,True
RDS,156,-0.103338828504811,-0.6592968550269661,0.5106834872628421,0.7201602578359713,False
RealizedVol,216,0.050222662051105704,0.10531138008849174,0.9162269176391074,0.9553107286851527,False
Recomm_ShortInterest,156,0.44694773884921035,1.1445155956286168,0.2541741705388263,0.47140402723072683,False
ResidualMomentum,156,0.32618642936802017,1.2825310886704668,0.20157109139099516,0.4116089441207482,False
retConglomerate,144,0.30258795388285503,1.0812456933491545,0.28140789599466753,0.4995751564758424,False
ReturnSkew,108,0.27846009170223196,1.2840166210957193,0.20190953626099595,0.4116089441207482,False
ReturnSkew3F,108,0.2131511074199631,1.198172996843948,0.23349689523673844,0.44986437590528877,False
REV6,336,0.5464493015253221,3.1428890888168284,0.0018222968009180551,0.01783464138310542,True
RevenueSurprise,216,0.37449178161991337,2.7585414449910166,0.006306177861449047,0.041534487144908594,True
RIO_Disp,228,0.38971217459078167,1.8637656407543182,0.06364578484921735,0.18156577199054177,False
RIO_MB,228,0.08089151690279793,0.43446625060408656,0.6643625978405696,0.8275285454422513,False
RIO_Turnover,228,0.4308242776122592,1.8655261407214712,0.06339774544651444,0.18156577199054177,False
RIO_Volatility,228,0.9247045291785074,3.1631689105996332,0.0017738900846167027,0.01783464138310542,True
RIVolSpread,157,0.15765646838479996,0.5645285033341922,0.5732053216056627,0.7532015906397252,False
roaq,168,1.2912829355289293,2.925336183059998,0.003919577267595065,0.030139641631707903,True
sfe,276,0.7396532905432246,1.8780249416830148,0.06143584788600909,0.18156577199054177,False
ShareIss1Y,192,0.8547613638601078,2.591510555100803,0.010293728664957813,0.05404207549102852,False
ShareIss5Y,216,0.877460876245249,3.3030649116020703,0.0011200303221974295,0.015680424510764013,True
ShareVol,312,0.05429448113051063,0.28660404269845424,0.7746063557049743,0.8888925393335769,False
Size,516,0.047993984375506664,0.3343132352208705,0.7382793030942805,0.8759245968915192,False
SmileSlope,133,0.8514126948882719,5.161744014057977,8.778681999110916e-07,3.6870464396265845e-05,True
std_turn,276,-0.0343225573656783,-0.07296552003597338,0.9418865968913832,0.9695891438587769,False
STreversal,408,1.6089490651773635,4.173017037155894,3.677521514555693e-05,0.0009653493975708693,True
SurpriseRD,240,-0.026660059911188243,-0.263867491813443,0.7921093996755313,0.8991512104424949,False
tang,180,-0.10251582666558484,-0.3163538513342466,0.7521025468033584,0.8795972197257242,False
Tax,240,0.36591001211666246,3.1915066834730976,0.0016051158649870167,0.017740754297224923,True
TotalAccruals,228,0.016780883367633483,0.10191017122785608,0.9189179390209563,0.9553107286851527,False
TrendFactor,96,0.18124611974099025,0.4759118539815174,0.6352297905558792,0.80360395190804,False
VolSD,276,0.008500878461105662,0.0355346472817418,0.9716791987900824,0.9895687791431316,False
XFIN,216,1.2343492268428462,3.5645101670179407,0.000449109171724027,0.007655624344505925,True
zerotrade6M,216,0.26291223140435577,0.6134932206401936,0.5401987620877402,0.7414492812968982,False
zerotrade1M,216,0.2554212445252667,0.6466031213701011,0.518578495254274,0.7236106697758639,False
zerotrade12M,216,0.18174304714220416,0.43229063840781123,0.6659634484749546,0.8275285454422513,False
AdExp,276,0.3181104233841904,1.404034490692432,0.16143689193134958,0.36157147935761896,False
AgeIPO,396,0.7624571627173602,2.744909320860574,0.006329064707795595,0.041534487144908594,True
AnalystValue,312,0.3870490310066111,1.2814542342350834,0.2009887682778817,0.4116089441207482,False
AOP,312,0.001084451708397196,0.0073526755761525115,0.9941381806661895,0.9986471668410424,False
Beta,612,0.2626577816389895,0.8995943150072226,0.3686905837081542,0.5910307067077282,False
BetaFP,120,-0.16097788562399734,-0.2178330884678533,0.827932249419491,0.9126220057641462,False
BidAskSpread,456,0.00506560537846524,0.013448297873444016,0.9892760288036775,0.9986471668410424,False
BrandInvest,120,-0.42996135677780817,-0.9115832370706948,0.3638310967706242,0.5877271563217775,False
ConsRecomm,276,0.1094610627512171,0.5970498791075008,0.5509653178328049,0.7466844897268218,False
Coskewness,288,0.26791392585343615,1.6993563561230338,0.090335604641268,0.23479461476727057,False
DebtIssuance,300,0.08756262545394203,0.8484280739167523,0.39687831580763056,0.5997397446969063,False
DelDRC,132,0.23157636225194153,1.2388430355411622,0.21761878420581904,0.43113155361530187,False
DownRecomm,276,0.18526984729797294,2.9011437547267906,0.00401861888422772,0.030139641631707903,True
FirmAge,480,-0.1393538083942491,-1.135437273050255,0.2567599597109498,0.47140402723072683,False
FR,216,-0.444335098843644,-1.5043317964806997,0.13396352280503376,0.3196856794211033,False
GrLTNOA,252,-0.046992879645877755,-0.5264499736137656,0.5990404890402719,0.7706018415725155,False
GrSaleToGrInv,312,-0.02674187465027341,-0.31372467808736076,0.7539404740506208,0.8795972197257242,False
GrSaleToGrOverhead,312,-0.1298611824986775,-1.1772484116242117,0.239996530814514,0.4581751951913449,False
HerfAsset,216,-0.3791548796239124,-2.042337486064958,0.04233861940947259,0.1506967809489702,False
High52,240,0.20295159074032793,0.6438183987555391,0.5203105292197878,0.7236106697758639,False
IO_ShortInterest,228,5.790645223823447,3.147354957255954,0.0018683910020396155,0.01783464138310542,True
MomOffSeason11YrPlus,192,0.04322441520103972,0.20935112692453442,0.8343972624129337,0.9126220057641462,False
MRreversal,468,0.314672136842371,1.8849557352437396,0.060056461497177915,0.18156577199054177,False
NumEarnIncrease,144,0.310308049105735,2.2988253798852076,0.022963889730009734,0.09455719300592243,False
OperProf,216,0.45427415373250185,2.370676081643607,0.018639271051646755,0.08154681085095455,False
OperProfRD,96,0.9756887727587077,1.6633329713327722,0.09954150679632834,0.24592607561445823,False
OptionVolume2,129,-0.1905061535287833,-1.3970267335789432,0.16482276692657938,0.3643450637324386,False
PredictedFE,312,-0.03658000915435496,-0.15611952382782632,0.8760400987317642,0.9291334380488409,False
PriceDelaySlope,224,-0.11071797000395216,-0.5958713932866322,0.5518654475727398,0.7466844897268218,False
